Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
TheInterOcean1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,<i>Chicago Inter Ocean</i>,"7, ",no. 282,3,March,1879,1879-03-03,7,,,,,"Chicago, Illinois",Public domain,,,,,,,
TheJeffersonian1853,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Stroudsburg (PA) Jeffersonian</i>,"14,",no. 4,24,November,1853,1853-11-24,1,Theodore Schoch,,,,"Stroudsburg, Pennsylvania",Public domain,,,,,,,
TheKansasCityEveningStar1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,""",Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,<i>Kansas City (MO) Evening Star</i>,"11, ",no. 228,10,June,1885,1885-06-10,4,,,,,"Kansas City, Missouri",Public domain,,,,,,,
TheKapundaHerald1879,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Kapunda (AUS) Herald</i>,15,no. 1142,6,June,1879,1879-06-06,4,,,,,"Kapunda, South Australia, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheLeavenworthTimes1900,newspaper-article,,"""Strange Islands near the California Coast. Once the Home of a Race Now Extinct. Expedition Fitting out to Explore the St. Nicholas Islands—Curious Tales Told of the Lonely Land—Numerous Skulls and Human Bones Indicate a Mighty Battle between Savage Tribes,""",Strange Islands near the California Coast. Once the Home of a Race Now Extinct. Expedition Fitting out to Explore the St. Nicholas Islands—Curious Tales Told of the Lonely Land—Numerous Skulls and Human Bones Indicate a Mighty Battle between Savage Tribes,<i>Leavenworth (KS) Times</i>,,,4,December,1900,1900-12-04,3,,,,,"Leavenworth, Kansas",Public domain,,,,,,,
TheMalvernLeader1893,newspaper-article,"[Edwards Roberts],","""A Female Crusoe,""",Female Crusoe,<i>Malvern (IA) Leader</i>,"19, ",no. 3,21,September,1893,1893-09-21,6,,,,,"Malvern, Iowa",Public domain,,,,,,,
TheMemphisDailyAppeal1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,""",California Crusoe. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicolas,<i>Memphis (TN) Daily Appeal</i>,8,no. 3,24,April,1857,1857-04-24,2,"M'Clanahan, Hutton & Co.",,,,"Memphis, Tennessee",,,,,,,,
TheMillheimJournal1879,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Millheim (PA) Journal</i>,53,no. 48,4,December,1879,1879-12-04,4,,,,,"Millheim, Pennsylvania",,,,,,,,
TheMorningBulletin1879,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Rockhampton (AUS) Morning Bulletin</i>,23,no. 3459,19,May,1879,1879-05-19,6,,,,,"Rockhampton, Queensland, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheMorningBulletin1897,newspaper-article,,"""The Islands of Mystery. Remains of a Giant Race,""",Islands of Mystery. Remains of a Giant Race,<i>Rockhampton (AUS) Morning Bulletin</i>,60,no. 10199,16,February,1897,1897-02-16,6,,,,,"Rockhampton, Queensland, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheMorningCall1893,newspaper-article,,"""A Stricken Isle. Earthquake Shocks on San Nicolas. Gales and Tidal Waves. Terrible Experience of Fishermen off the Coast of Southern California,""",Stricken Isle. Earthquake Shocks on San Nicolas. Gales and Tidal Waves. Terrible Experience of Fishermen off the Coast of Southern California,<i>San Francisco Morning Call</i>,"74,",no. 73,7,July,1893,1893-07-07,1,San Francisco Call,,,,"San Francisco, California",Public domain,,,,,,,
TheMorningPress1892,newspaper-article,,"""The Lost Woman. The S. F. 'Examiner' Gives a Version of Her Rescue,"" ",Lost Woman. The S. F. Examiner Gives a Version of Her Rescue,<i>Santa Barbara (CA) Morning Press</i>,"30, ",no. 80,1,March,1892,1892-03-01,4,,,,,"Santa Barbara, California",Public domain,,,,,,,
TheNewbernian1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,"<i>Newbernian</i> (New Bern, NC)","7, ",no. 12,22,March,1879,1879-03-22,1,,,,,"New Bern, North Carolina",Public domain,,,,,,,
TheNewfoundlander1879,newspaper-article,,"""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,"<i>Newfoundlander</i> (St. John's, CAN)",,,23,May,1879,1879-05-23,1,,,,,"St. John's, Newfoundland, Canada",Public domain,,,"Under most circumstances, materials published in France, Germany, or Russia enter the public domain 70 years after the death of their author, and material published in Canada 50 after the death of their author. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in France, Germany, Russia, or Canada, we request that you cite it as follows: Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/books/island-of-the-blue-dolphins/index.htm. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheNewtownRegister1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,<i>Newtown (NY) Register</i>,"7, ",no. 21,22,May,1879,1879-05-22,3,,,,,"Newtown, New York",Public domain,,,,,,,
TheOmahaDailyBee1887,newspaper-article,,"""A Mountain Mystery. The Strange Sight Seen by California Hunters,""",Mountain Mystery. The Strange Sight Seen by California Hunters,<i>Omaha (NE) Daily Bee</i>,16,no. 236,9,February,1887,1887-02-09,5,,,,,"Omaha, Nebraska",,,,,,,,
TheOmahaDailyBee1892,newspaper-article,,"""An Idyl of the Pacific. In an Island White with Skeletons of an Extinct Indian Race,""",Idyl of the Pacific. In an Island White with Skeletons of an Extinct Indian Race,<i>Omaha (NE) Daily Bee</i>,21,no. 262,11,April,1892,1892-04-11,3,,,,,"Omaha, Nebraska",,,,,,,,
TheOsageCityFreePress1880,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Osage City (KS) Free Press</i>,"10,",no. 295,4,November,1880,1880-11-04,2,,,,,"Osage City, Kansas",Public domain,,as of 6/3/2015 there is no better copy available than the one we have [Rachel Manuszak],,,,,
TheOswegoPalladium1921,newspaper-article,,"""Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone for Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Oswego (NY) Palladium</i>,"58, ",no. 206,3,September,1921,1921-09-03,2,,,,,"Oswego, New York",Public domain,,,,,,,
TheOxnardDailyCourier1920,newspaper-article,,"""Will Explore Channel Islands for Relics of Ancient Race,"" ",Will Explore Channel Islands for Relics of Ancient Race,<i>Oxnard (CA) Daily Courier</i>,"14, ",no. 57,9,August,1920,1920-08-09,1,,,,,"Oxnard, California",Public domain,,,,,,,
ThePeeDeeBee1879,newspaper-article,"[Absalom B. Stuart],","""A Female Crusoe,"" ",Female Crusoe ,<i>Rockingham Pee Dee (NC) Bee</i>,"6, ",no. 14,5,April,1879,1879-04-05,3,,,,,"Rockingham, North Carolina",Public domain,,,,,,,
ThePeoplesPress1853,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Salem (NC) People's Press</i>,"3, ",no. 40,19,November,1853,1853-11-19,3,,,,,"Salem, North Carolina",Public domain,,,,,,,
ThePioneer1879,newspaper-article,,"""Left Alone. On a Dreary Desert Island for Eighteen Years. California's Feminine Crusoe,""",Left Alone. On a Dreary Desert Island for Eighteen Years. Californias Feminine Crusoe,<i>San Jose (CA) Pioneer</i>,"3,",no. 7,15,February,1879,1879-02-15,4,Alex P. Murgotten,,,,"San Jose, California",Public domain,,,,,,,
ThePittsburgPress1904,newspaper-article,,"""Relics of a Vanished Race: Found on a Lonely Island of California,""",Relics of a Vanished Race Found on a Lonely Island of California,<i>Pittsburg Press</i>,"21, ",no. 39,9,February,1904,1904-02-09,17,,,,,"Pittsburg, Pennsylvania",Public domain,,,,,,,
ThePolynesian1847,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Honolulu Polynesian</i>,"4, ",no. 12,7,August,1847,1847-08-07,48,,,,,"Honolulu, Hawaii",Public domain,,,,,,,
ThePortageSentinel1853,newspaper-article,"[Goliah],","""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>Ravenna (OH) Portage Sentinel</i>,"9, ",no. 27,28,December,1853,1853-12-28,1,,,,,"Ravenna, Ohio",Public domain,,,,,,,
ThePublicLedger1879,newspaper-article,,"""A Female Robinson Crusoe,"" ",Female Robinson Crusoe ,<i>St. John's (CAN) Public Ledger</i>,"5,",no. 30,30,May,1879,1879-05-30,1,F. W. Bowden,,,,"St. John's, Newfoundland, Canada",Public domain,,,"Under most circumstances, materials published in France, Germany, or Russia enter the public domain 70 years after the death of their author, and material published in Canada 50 after the death of their author. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in France, Germany, Russia, or Canada, we request that you cite it as follows: Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/books/island-of-the-blue-dolphins/index.htm. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheQueanbeyanAge1879,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Queanbeyan (AUS) Age</i>,,,7,May,1879,1879-05-07,4,,,,,"Queanbeyan, New South Wales, Australia",Public domain,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheQueenslandTimes1879,newspaper-article,,"""A Female Crusoe,""",Female Crusoe,<i>Queensland (AUS) Times</i>,18,no. 2555,20,May,1879,1879-05-20,4,,,,,"Ipswich, Queensland, Australia",,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheRecorder1887,newspaper-article,,"""A Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters,""",Mountain Mystery. The Strange Apparition Seen by Two Veracious California Hunters,<i>Mount Kisco (NY) Recorder</i>,"13, ",no. 44,11,February,1887,1887-02-11,3,,,,,"New York, New York",Public domain,,,,,,,
TheRedCloudChief1879,newspaper-article,,"""A Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years,""",Feminine Crusoe. Alone on a Dreary Desert Island for 18 Years,<i>Webster (NE) Red Cloud Chief</i>,"6,",no. 3,27,March,1879,1879-03-27,2,M. L. Thomas,,,,"Webster, Nebraska",Public domain,,,,,,,
TheRioGrandeRepublic1922,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters","<i>Rio Grande Republic</i> (Las Cruces, NM)","41,",no. 44,13,April,1922,1922-04-13,3,,,,,"Las Cruces, New Mexico",Public domain,,,,,,,
TheSacredHeartReview1898,newspaper-article,,"""The Farallones,"" ",Farallones ,<i>Boston Sacred Heart Review</i>,"20,",no. 21,19,November,1898,1898-11-19,407,,,,,"Boston, Massachusetts",Public domain,,,,,,,
TheSaintPaulGlobe1896,newspaper-article,,"""Isles of Mystery. Mementoes of an Extinct Race in the Pacific Ocean. Deserted Channel Islands. Thoroughly Explored at Last by Prof. Charles Fred Holden. San Nicolas' Lone Woman. Remains That Tell of an Interesting Tribe of Quite Aesthetic Tastes,""",Isles of Mystery. Mementoes of an Extinct Race in the Pacific Ocean. Deserted Channel Islands. Thoroughly Explored at Last by Prof. Charles Fred Holden. San Nicolas Lone Woman. Remains That Tell of an Interesting Tribe of Quite Aesthetic Tastes,<i>Saint Paul (MN) Globe</i>,"29,",no. 363,28,December,1896,1896-12-28,3,,,,,"Saint Paul, Minnesota",Public domain,,,,,,,
TheSarniaObserver1898,newspaper-article,,"""An Indian Mother. The Story of a Lone Woman on a Deserted Island. Jumped into the Ocean and Swam Ashore to Find Her Babe—Failing to Recover the Child, She Lived Alone on the Island for Eighteen Years,""","Indian Mother. The Story of a Lone Woman on a Deserted Island. Jumped into the Ocean and Swam Ashore to Find Her Babe—Failing to Recover the Child, She Lived Alone on the Island for Eighteen Years",<i>Sarnia (Ontario) Observer</i>,"45,",no. 5,4,February,1898,1898-02-04,8,,,,,"Sarnia, Ontario, Canada",Public domain,,,"Under most circumstances, materials published in France, Germany, or Russia enter the public domain 70 years after the death of their author, and material published in Canada 50 after the death of their author. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in France, Germany, Russia, or Canada, we request that you cite it as follows: Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/books/island-of-the-blue-dolphins/index.htm. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
