number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
201,Psychology Today,"Psychology Today (1967-current) is a bimonthly magazine founded by Nicholas Charney out of Del Mar, California. Charney wanted to make the academic field of psychology accessible to the average person. Psychology Today focuses on current issues from a psychologicsal point of view. Shortly after its founding, the magazine moved to New York City, where it is published today.","""About Psychology Today,"" Psychology Today, accessed September 4, 2016. Editors of the Encyclopedia Britannica, ""Psychology Today,"" Encyclopedia Britannica, last updated February 8, 2016, accessed September 4, 2016. ""Issue Archive,"" Psychology Today, accessed September 4, 2016. O.L. Freeman, ""’Letting the Air In,’"" Psychology Today, last updated June 9, 2016, accessed September 4, 2016. ""Psyching Out of the Coast,"" New York Magazine 7, no. 50 (1974): 104, eBook, accessed October 23, 2016.",ODell1968,magazine-article,"O'Dell, Scott.","""An Adventure with Memory and Words.""","1,",8,,January,1968,1968-01-01,,"New York, New York",
203,"Putnam's Monthly: A Magazine of Literature, Science, and Art","Putnam's Monthly Magazine of American Literature, Science, and Art (1853-1910) was a magazine founded by George Palmer Putnam out of New York. It only published American authors, appealing to readers and contributors alike as most magazines at the time only republished British writings. While Herman Melville published ""The Encantadas"" in the magazine with his byline, but many prominent authors chose to publish in Putnam’s anonymously.","Hester Blum, The View from the Masthead: Maritime Imagination and Antebellum American Sea Narratives (Chapel Hill: University of North Carolina Press, 2008), accessed 8 March 2016, eBook. ""Making of America,"" Cornell University Library, accessed 8 March 2016.",Melville1854,magazine-article,"Melville, Herman.","""Sketch Eighth: Charles' Isle and the Dog-King,"" in ""The Encantadas, or Enchanted Isles.""","3,",16,,April,1854,1854-04-01,,,
222,Santa Barbara Magazine,"Santa Barbara Magazine (1999-current) is a magazine that was founded by Bill Smith out of Santa Barbara California. This magazine caters to affluent reidents of Southern California, with content on local history, people, places, and businesses.","Santa Barbara Magazine Staff, phone conversation to Paige Kuester, November 30, 2016. ""To Advertise,"" Santa Barbara Magazine, accessed November 30, 2016, http://sbmag.com/to-advertise/.",Howorth1988-Cave,magazine-article,"Howorth, Peter C.","""San Nicolas Island: The Elusive Source of the Chumash Magic Stones,"" and ""The Cave of the Whales.""","14,",4,,July/August,1988,1988-07-01,,"Santa Barbara, California",
222,Santa Barbara Magazine,"Santa Barbara Magazine (1999-current) is a magazine that was founded by Bill Smith out of Santa Barbara California. This magazine caters to affluent reidents of Southern California, with content on local history, people, places, and businesses.","Santa Barbara Magazine Staff, phone conversation to Paige Kuester, November 30, 2016. ""To Advertise,"" Santa Barbara Magazine, accessed November 30, 2016, http://sbmag.com/to-advertise/.",Howorth1988-Magic,magazine-article,"Howorth, Peter C.","""San Nicolas Island: The Elusive Source of the Chumash Magic Stones,"" and ""The Cave of the Whales.""","14,",4,,July/August,1988,1988-07-01,,"Santa Barbara, California",
224,Santa Barbara (CA) Seasons,"Santa Barbara Seasons (2000-current) is a joint blog/print magazine that has been edited by Leslie Dinaberg since 2010. It promotes the city and culture of Santa Barbara, catering to an affluent readership in that city and in Los Angeles. Seasons has a print circulation of 25,0000 in 2016.","""An Evening with Michael McDonald and Friends,"" Santa Barbara Seasons, October 1, 2001, accessed September 11, 2016. Leslie Dinaberg, LeslieDinaberg.com, 2016, accessed September 11, 2016. Lisa Angle, ""Review: Magazine Publishing and Writing in a 2.0 World,"" The Association for Women in Communications, November 16, 2012, accessed September 11, 2016. ""Media Kit,"" Santa Barbara Seasons, accessed September 16, 2016. ""Media Kit,"" Santa Barbara Seasons, accessed September 16, 2016, PDF.",TelleenLawton2013_Blog,blog/website,"Telleen-Lawton, Karen.","""The Lost Woman of San Nicolas Island,""",blog,,11,July,2013,2013-07-11,,"Santa Barbara, California",
224,Santa Barbara (CA) Seasons,"Santa Barbara Seasons (2000-current) is a joint blog/print magazine that has been edited by Leslie Dinaberg since 2010. It promotes the city and culture of Santa Barbara, catering to an affluent readership in that city and in Los Angeles. Seasons has a print circulation of 25,0000 in 2016.","""An Evening with Michael McDonald and Friends,"" Santa Barbara Seasons, October 1, 2001, accessed September 11, 2016. Leslie Dinaberg, LeslieDinaberg.com, 2016, accessed September 11, 2016. Lisa Angle, ""Review: Magazine Publishing and Writing in a 2.0 World,"" The Association for Women in Communications, November 16, 2012, accessed September 11, 2016. ""Media Kit,"" Santa Barbara Seasons, accessed September 16, 2016. ""Media Kit,"" Santa Barbara Seasons, accessed September 16, 2016, PDF.",TelleenLawton2013_Mag,magazine-article,"Telleen-Lawton, Karen.","""The Lost Woman of San Nicolas Island.""",blog,,11,July,2013,2013-07-11,,"Santa Barbara, California",
229,Scribner's Monthly,"Scribner’s Monthly (1870-1930) was a magazine founded by Dr. Josiah Gilbert Holland, Roswell Smith, and Charles Scribner. This Presbyterian paper quickly came to rival the Methodist Harper’s Monthly, publishing fiction, poems, moral advice, travel guides, current events, and more. Scribner's was especially known for its prominent use of illustrations. In 1885, circulation was about 200,000.","Frank Luther Mott, A History of American Magazines 1741-1850 (Cambridge: Harvard University Press, 1958), accessed 28 February 2016, eBook.",Hardacre1880_SM,magazine-article,"Hardacre, Emma.","""Eighteen Years Alone: A Tale of the Pacific.""",20,,,,1880,1880-05-01,,"New York, New York",
230,Sea History Magazine,"Sea History Magazine (1970-current) is the quarterly magazine of the National Maritime Historical Society and is published for its members, which at the beginning of the twenty-first century numbered more than 10,000. Sea History Magazine’s focus is maritime history, broadly construed.","National Maritime Historical Society, accessed November 6, 2016, https://www.seahistory.org.",King2013,magazine-article,"King, Richard.","""Animals in Sea History: Sea Otter.""",,145,,Winter,2013-14,2013-12-01,National Maritime Historical Society.,,
127,Historical Society of Southern California Quarterly,"Southern California Quarterly (1884-current) is the flagship journal of the Historical Society of Southern California; its focus is the history of Southern California, but it also publisges on Calfornia state history, and the West more generally. Its audience includes both professional historians and the general public.","""About,"" Southern California Quarterly, accessed August 2, 2016.",Romer1959,journal-article,"Romer, Margaret.","""The Last of the Canaliños.""","41,",3,,,1959,1959-01-01,University of California Press,,
295,St. John's (CAN) Public Ledger,"St. John’s Public Ledger (1827-82) was a semi-weekly newspaper founded by Henry Winton out of St. John’s, Newfoundland, Canada. Winton was very outspoken about his anti-catholic beliefs, which led to physical attacks against him that ultimately ended in someone cutting off part of his ears. His son, also Henry Winton, took over the paper in the 1850s. St. John’s was a growing city in the 1870s and had many different small-cale manufacturing industries.","Philip Tocque, ""Chapter XVI: Population, Religion, and Education,"" Newfoundland: As It Was, and As It Is in 1877 (Toronto: John B. Magurn, 1878), accessed October 6, 2016, eBook. Shannon Ryan, ""Newspapers,"" The Ice Hunters: A History of Newfoundland Sealing to 1914 (St. John’s, NF: Breakwater, 1994), accessed October 6, 2016. ""St. John’s,"" Historica Canada, Anthony Wilson Smith, accessed October 6, 2016, http://www.thecanadianencyclopedia.ca/en/article/st-johns/. William Wilson, ""Literature,"" Newfoundland and its Missionaries (Cambridge, MA: Dakin and Metcalf, 1866), accessed October 6, 2016, eBook.",ThePublicLedger1879,newspaper-article,,"""A Female Robinson Crusoe,""","5,",no. 30,30,May,1879,1879-05-30,F. W. Bowden,"St. John's, Newfoundland, Canada",
324,The Dawn: A Journal for Australian Women,"The Dawn: A Journal for Australian Women (1888-1905) was a monthly suffragist publication that was founded and published by Louisa Lawson (pen name for Dora Falconer) out of New South Wales, Australia. The newspaper provided a forum for women’s political writing but also published articles on various aspects of women’s lives, including childrearing and cooking. Its primary audience was working class women, and it circulated rurally in rural as well as urban areas.","Annie Holden Ronning, ""Louisa Lawson and the Woman Question,"" Coolabah no. 26 (2015): 74-86, PDF.",TheDawn1881,journal-article,"[Fred Spalding Witter],","""A Female Robinson Crusoe,""",8,no. 3,1,July,1895,1895-07-01,,"Sydney, New South Wales, Australia",
260,Touring Topics,"Touring Topics (1909-current) is a magazine founded by the Auto Club of Southern California and is distributed to its members. The magazine originally focused on automobiles exclusively, and it called for the improvement of local roads and road signs. When Phil Townsend Hanna became the editor of Touring Topics in 1926, the magazine expanded its coverage into the arts, featuring literary pieces and landscapes by local artists, and also travel and tourism, promoting the West Coast as superior to the East Coast for living and for business. In 1934, the publication’s name was changed to Westways to reflect the magazine’s new focus.","Christopher Smith, ""Westways Magazine Celebrates a Century of Car Culture,"" Los Angeles Times, February 23, 2009, accessed July 25, 2016. John Crosse, ""Touring Topics/Westway: The Phil Townsend Hanna and ‘Scenic View Ahead: The Westwats Cover Art Program, 1928-1981,"" Southern California Architectural History, accessed July 25, 2016.",Wolfe1928,magazine-article,"Wolfe, Gordon.","""The Lost Woman of San Nicolas.""","20,",7,,,1928,1928-01-01,,"Los Angeles, California",
