,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
334,Barcaldine (AUS) Western Champion and General Advertiser for the Central-Western Districts,"The <i>Barcaldine Western Champion</i> (1891-1937) was a weekly newspaper founded by William Campbell, Charles James, and Frederic James originally out of Blackall, New South Wales, Australia; however, the paper was moved to Barcaldine in 1886 because the railroad was newly located in Barcaldine. Barcaldine was a new town in the 1880s, and is considered the birthplace of the modern Australian labor movement because many different worker and union meetings were held there. The <i>Barcaldine Western Champion</i> was a conservative paper, editorializing against strikes. The <i>Champion</i> folded during the Great Depression in the 1930s.","""Barcaldine and Barcaldine Shire,"" <i>Queensland Places</i>, Centre for the Government of Queensland, accessed November 5, 2016, http://queenslandplaces.com.au/barcaldine-and-barcaldine-shire. ""Front Line in a War of Words,"" <i>GXpress</i>, accessed November 5, 2016, http://www.gxpress.net/rod-kirkpatrick-front-line-in-a-war-of-words-cms-2695.",TheWesternChampion1892,newspaper-article,,"""A Terrible Country. Covered with Skeletons,""",2,no. 33,6,September,1892,1892-09-06,,"Barcaldine, Queensland, Australia",
23,Bath (NY) Plaindealer,"The <i>Bath Plaindealer</i> (1883-192?) is a weekly newspaper founded by A. Ellas McCall, Orson L. Drew, and William Black out of Bath, New York. From 1884 on, only McCall was the owner and editor. In 1880, the population of Bath was 7,396, and the main industries were agriculture and lumbering.","""About Bath plaindealer. (Bath, N.Y.) 1883-192?,"" <i>Chronicling America</i>, accessed April 24, 2016. Harlo Hakes, ed., <i>Landmakrs of Steuben County, New York</i> (Syracuse, NY: D. Mason, 1896), accessed April 24, 2016, eBook. ""History,"" <i>Town of Bath</i>, accessed April 4, 2016. Irvin W. Near, <i>A History of Steuben County, New York and its People</i> (Chicago: Lewis, 1911), accessed April 4, 2016, eBook. U.S. Census Bureau, ""1880 Census,"" accessed April 4, 2016, PDF.",TheBathPlaindealer1885,newspaper-article,,"""A Female Crusoe. The Singular Story of the Lost Woman of San Nicolas Island. Found on an Island Where She had Remained for Sixteen Years."" ","3, ",6,6,June,1885,1885-06-06,,"Bath, New York ",
25,Danville (VA) Bee,"The <i>Bee</i> (1899-current) is a daily newspaper out of Danville, Virginia; it was originally founded as the evening version of the <i>Register</i>. The James family owned both papers from 1899-1996. Elizabeth Stuart James Grant was the publisher in the 1940s. The <i>Bee</i> and the <i>Register</i> were combined in 1989 to form the <i>Danville Register & Bee</i> which is the paper’s current name. Danville, in Southern Virginia, had a population of 32,749 in 1940.","""About The Bee. (Danville, Va.) 19??-1989,"" <i>Chronicling America</i>, accessed July 27, 2016. ""A Continuing Legacy: E. Stuart James Grant Trust,"" <i>Virginia Military Institute</i>, accessed July 27, 2016. Lee Wayland, <i>If Streets Could Talk</i> (n.p.: Lulu, 2011), accessed July 27, 2016, eBook. U.S. Census Bureau, ""1940 Census,"" accessed July 26, 2016, PDF.",Davidson1943_TB,newspaper-article,"Davidson, Garber. ","""Archeologists Bare Channel Islands' Secret; Story of Mother Love Delayed 90 Years."" ",,,19,July,1943,1943-07-19,,"Danville, Virginia",
26,Beloit (KS) Daily Call,"The <i>Beloit Daily Call</i> (1901-current) is a daily newspaper founded out of Beloit, Kansas; Alan B. Adamson was the editor until 1923, when Harry K. Houghton took over. Beloit had a population of 3,315 in 1920.","""A.B. Adamson, editor of the Beloit Daily Call,"" <i>Kansas Newspapers</i>, accessed July 18, 2016, http://www.kansasnewspapers.org/article.php?id=71. ""About The Beloit daily call. (Beloit, Kan.) 1905-current,"" <i>Chronicling America</i>, accessed July 18, 2016. U.S. Census Bureau, ""1920 Census,"" accessed July 18, 2016, PDF.  ",TheBeloitDailyCall1921_Jun28 TheBeloitDailyCall1921_Jul7,"newspaper-article
newspaper-article",,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters."" 
""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters."" ","20, 
20, ",105               N/A,"
28              7",June         July,"1921
1921",Tue Jun 28 1921 07:00:00 GMT+0300 (EAT)                  Thu Jul 07 1921 07:00:00 GMT+0300 (EAT),,"Beloit, Kansas
Beloit, Kansas",
27,Belvidere (IL) Standard and Boone Co. Advertiser,"The <i>Belvidere Standard and Boone Co. Advertiser</i> (1852-54) was a weekly newspaper founded by Ralph Roberts in Belvidere, Illinois, the seat of Boone County. Originally, it had Democratic political affiliations, but it became Republican in 1856. Boone County was primarily agricultural at the midpoint of the nineteenth century, but Belvidere itself (pop. 400) was on the popular road between Chicago and Rockford and it was a commercial center with flour mills and 40 stores in town.","""About Belvidere,"" <i>City of Belvidere, Illinois</i>, accessed February 28, 2016. ""About Belvidere standard and Boone County advertiser. (Belvidere, Ill.) 1853-1854,"" <i>Chronicling America</i>, accessed February 28, 2016. ""Frank Moran-The Early Years,"" <i>Belvidere Daily Republican</i< (Belvidere, IL), 5 August 1963, accessed February 28, 2016. Newton Bateman, Paul Selby, and Richard V. Carpenter, eds., <i>Historical Encyclopedia of Illinois and History of Boone County</i> (Chicago: Munsell Publishing, 1909), accessed February 28, 2016, PDF. <i>The Past and Present of Boone County, Illinois</i> (Chicago: H.F. Kett., 1877), accessed February 28, 2016, eBook. U.S. Census Bureau, ""1850 Census,"" accessed February 28, 2016, PDF.",BelvidereStandard1853,newspaper-article,,"""A Female Crusoe."" ","49, ",33,6,December,1853,1853-12-06,,"Belvidere, Illinois",
29,Bismarck (ND) Daily Tribune,"The <i>Bismarck Daily Tribune</i> (1881-current) is a daily newspaper founded by Col. Clement A. Lounsberry out of Bismarck, North Dakota (then Dakota Territory). Before becoming a daily, the paper was published as a tri-weekly paper under the name <i>Bismarck Tribune</i>. As the first newspaper in Dakota Territory, the <i>Tribune</i> served readers in a vast geographic area. The paper generally reprinted news received via telegraph, but Lounsberry was the first to break the story of the Battle of Little Big Horn. He had sent a reporter to follow Custer, and while the reporter was killed, his diary survived, and Lounsberry used this as his source. In 1884, Lounsberry sold the <i>Tribune</i> to Marshall Jewell to pursue political and publishing opportunities. Bismarck was a growing town in the 1880s (pop. 2,186 in 1890) as the railroad arrived, bringing gold and new milling industry. The <i>Bismarck Daily Tribune</i> dropped the ""Daily"" from its title in 1916.","""About Bismarck daily tribune. (Bismarck, Dakota [N.D.]) 1881-1916,"" <i>Chronicling America</i>, accessed April 24, 2016. ""Bismarck: History,"" <i>City-Data.com</i>, accessed April 24, 2016. Curt Eriksmoen, Jan Eriksmoen, ed., ""Eriksmoen: Little paper broke a big story,"" <i>Bismarck Tribune</i>, accessed April 24, 2016. Ross F. Collins, ""<i>Bismarck Tribune</i>,"" <i>Encyclopedia of the Great Plains</i>, accessed April 24, 2016. U.S. Census Bureau, ""1890 Census,"" accessed April 24, 2016, PDF.","BismarckDailyTribune1885
BismarckDailyTribune1892","newspaper-article
newspaper-article",,"""A Feminine Crusoe."" 
""The Isle of Skulls,"" ","13, 
12,
","100
-","28
27","June
April","1885
1892","1885-06-28
1892-04-27",,"Bismarck, North Dakota",
30,Morganton (NC) Blue Ridge Blade,"The <i>Blue Ridge Blade</i> (1876-1885) was a weekly newspaper founded by Willoughby Francis Avery and H.H. Crowson, out of Morganton, North Carolina. Avery died soon after its founding, leaving Crowson as the editor. The paper was not only strongly Democratic, but also white supremacist. In 1879, Morganton had a population of 554, with agriculture as the main industry.","Edward William Phifer, Jr., <i>Burke</i> (Morganton, North Carolina: Edward William Phifer, Jr , 1982).<i>George P. Rowell & Co’s American Newspaper Directory</i> (New York: George P. Rowell & Co., 1879), accessed 20 March 2016, eBook.",TheBlueRidgeBlade1879,newspaper-article,,"""A Female Robinson Crusoe."" ","4, ",7,12,April,1879,1879-04-12,,"Morganton, North Carolina",
284,Mount Gambier (AUS) Border Watch,"The <i>Border Watch</i> (1861-present) is a semi-weekly newspaper out of Mount Gambier South Australia, founded by Janet Laurie, a Scottish immigrant, and John Watson, later mayor of Mount Gambier. Laurie soon turned the paper over to her son, Andrew Laurie, and Laurie and Watson contriued propiership of the paper through the early 1900s. In the 1870s, Mount Gambier in southeast South Australia was known for its animal husbandry and tourism on Blue Lake.","""About Us,"" <i>The Border Watch</i>, Fairfax Media, accessed September 25, 2016, http://www.borderwatch.com.au/about-us/. ""The Border Watch,"" <i>Country Press SA</i>, accessed September 25, 2016, http://www.sacountrypress.com.au/newspaper-lists/mount-gambier. ""Border Watch,"" <i>SA Newspapers</i>, Government of South Australia, accessed September 25, 2016, http://www.samemory.sa.gov.au/site/page.cfm?c=2585. ""South-East,"" <i>The Manning Index of South Australian History</i>, Government of South Australia, accessed September 25, 2016, http://www.slsa.sa.gov.au/manning/pn/s/stheast.htm.",TheBorderWatch1879,newspaper-article,,"""Alone for Eighteen Years,"" ","19, ",no. 1643,2,August,1879,1879-08-02,,"Mount Gambier, South Australia",
32,Boston Atlas,"The <i>Boston Atlas</i> (1832-57) was a daily newspaper founded by John Eastburn as a Whig-party press (the <i>Boston Post</i> was the Democratic paper). The paper struggled to gain readership at its onset, but followed the rise of the Whig party in the 1840s to become one of the most popular party papers in the Northeast. It was the first to introduce next-day election results by a type of pony express, and had the outcome of the votes by the next morning’s paper. Even though the <i>Atlas</i> diversified its coverage­–for example, it carried travel correspondence from the new territories–it still followed the decline of the party, and in 1857, was merged with other small newspapers in Boston to become the <i>Boston Traveller</i>.","""About The Boston daily Atlas. (Boston [Mass.]) 1844-1857,"" <i>Chronicling America</i>, accessed February 9, 2016. Brayton Harris, <i>War News: Gray in Black & White: Newspapers in the Civil War</i>, CreateSpace, last modified 2010, accessed February 9, 2016, eBook. Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: Macmillan, 1941), 262. Frederic Hudson, <i>Journalism in the United States, from 1690 to 1872, Part 1</i> (New York: Psychology Press, 2000), accessed February 9, 2016, eBook. James Schouler, <i>Historical Briefs</i> (New York: Dodd, Mead, 1896), accessed February 9, 2016. eBook. R. Hildreth, <i>My Connection with The Atlas Newspaper</i> (Boston: Whipple and Damrell, 1839), accessed February 9, 2016, eBook. Richard Allen Schwarzlose, <i>The Nations Newsbrokers: The formative years, from pretelegraph to 1865</i> (Evanston, IL: Northwestern University Press, 1989) accessed February 9, 2016, eBook. ""Whig Party,"" <i>History</i>, accessed February 9, 2016.",TheBostonAtlas1847,newspaper-article,,"""A Female Crusoe.""","15,",163,7,January,1847,1847-01-07,Wm. Hayden & Thos. M. Brewer,"Boston, Massachusetts",Wm. Hayden
33,Boston Evening Transcript,"The <i>Boston Evening Transcript</i> (1872-1941) was a daily newspaper founded by Lynde M. Walter, out of Boston; it specialized in art and drama news and reviews. In the 1880s, the paper was edited by Edward H. Clement, and had a circulation of 17,000, behind the <i>Herald</i> and the <i>Daily Advertiser</i>. Boston itself was growing with a population of 362,839 in 1880.","""About Boston evening transcript. (Boston, Mass.) 1872-1941,"" <i>Chronicling America</i>, accessed 20 March 2016. Frank Luther Mott, <i>American Journalism: A History of Newspapers in the United States Through 250 Years: 1690 to 1940</i> (New York: The Macmillan Company, 1941). ""Population Trends in Boston 1640-1990,"" <i>Boston History and Architecture</i>, accessed 20 March 2016.",BostonEveningTranscript1879,newspaper-article,,"""A Female Crusoe."" ","50, ","15,915",5,March,1879,1879-03-05,,"Boston, Massachusetts",
34,Boston Weekly Globe,"The <i>Boston Globe</i> (1873-current) is a daily newspaper started by Charles H. Taylor and Eben Jordan out of Boston; there was also a weekly edition, the <i>Boston Weekly Globe</i>, from 1872 to 1892. In the last half of the nineteenth century, the paper commanded the largest circulation of any newspaper in the country outside of New York City, with a circulation of 35,000 in 1885. The focus was on eye-catching headlines featuring sensational stories. Boston had a population of 448,477 in 1890.","""About The Boston weekly globe. (Boston, Mass.) 1873-1892,"" <i>Chronicling America, accessed April 24, 2016. ""<i>Boston Globe</i>–Brief History,"" <i>Columbia University</i>, accessed April 24, 2016. ""Boston Globe-History,"" <i>Boston Globe</i>, accessed April 24, 2016. Editors of the Encyclopedia Britannica, ""The Boston Globe,"" <i>Encyclopedia Britannica</i>, accessed April 24, 2016. <i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1884), accessed April 24, 2016 eBook. U.S. Census Bureau, ""1890 Census,"" accessed April 24, 2016, PDF.",TheBostonWeeklyGlobe1885,newspaper-article,,"""Queen Of San Nicolas. The Feminine Crusoe of the Pacific Ocean. Eighteen Years Alone on a Desert Island Seventy Miles from Shore. Her Dress of Feathers and Her Strange Language."" ","8, ",20,19,May,1885,1885-05-19,,"Boston, Massachusetts",
329,St. Paul (MN) Sunday Globe,"The <i>Boston Globe</i> (1873-current) is a daily newspaper started by Charles H. Taylor and Eben Jordan out of Boston; there was also a weekly edition, the <i>Boston Weekly Globe</i>, from 1872 to 1892. In the last half of the nineteenth century, the paper commanded the largest circulation of any newspaper in the country outside of New York City, with a circulation of 35,000 in 1885. The focus was on eye-catching headlines featuring sensational stories. Boston had a population of 448,477 in 1890.","""About The Boston weekly globe. (Boston, Mass.) 1873-1892,"" <i>Chronicling America, accessed April 24, 2016. ""<i>Boston Globe</i>–Brief History,"" <i>Columbia University</i>, accessed April 24, 2016. ""Boston Globe-History,"" <i>Boston Globe</i>, accessed April 24, 2016. Editors of the Encyclopedia Britannica, ""The Boston Globe,"" <i>Encyclopedia Britannica</i>, accessed April 24, 2016. <i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1884), accessed April 24, 2016 eBook. U.S. Census Bureau, ""1890 Census,"" accessed April 24, 2016, PDF.",SundayGlobe1887,newspaper-article,,"""A Mountain Mystery. The Strange Sight Seen by Some Ventura Hunters,""",9,no. 58,27,February,1887,1887-02-27,,"St. Paul, Minnesota",
